OD,OD FULL (CODE COMMUNE),NOM_COM_START,NOM_COM_END,Nombre,CENTROID_COM_START_X,CENTROID_COM_START_Y,CENTROID_COM_END_X,CENTROID_COM_END_Y,WAYPOINT_X,WAYPOINT_Y,WIDTH,WKT
PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Sud Nord,PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Sud Nord : 69387 -> 69387,Lyon 7e Arrondissement,Lyon 7e Arrondissement,89,4.83736856178182,45.7334291759191,4.83736856178182,45.7334291759191,4.842077,45.721641,8.9,"LINESTRING(4.83736856178182 45.7334291759191,4.842077 45.721641,4.83736856178182 45.7334291759191)"
PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Nord Sud,PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Nord Sud : 69271 -> 69382,Chassieu,Lyon 2e Arrondissement,87,4.96226256315257,45.7381365556818,4.82563546201978,45.7484198223014,4.842077,45.721641,8.7,"LINESTRING(4.96226256315257 45.7381365556818,4.842077 45.721641,4.82563546201978 45.7484198223014)"
PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Sud Nord,PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Sud Nord : 69387 -> 69277,Lyon 7e Arrondissement,Genas,86,4.83736856178182,45.7334291759191,5.01608883503537,45.7299904750262,4.842077,45.721641,8.6,"LINESTRING(4.83736856178182 45.7334291759191,4.842077 45.721641,5.01608883503537 45.7299904750262)"
PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Nord Sud,PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Nord Sud : 69029 -> 69382,Bron,Lyon 2e Arrondissement,85,4.91194010503519,45.7346725078783,4.82563546201978,45.7484198223014,4.842077,45.721641,8.5,"LINESTRING(4.91194010503519 45.7346725078783,4.842077 45.721641,4.82563546201978 45.7484198223014)"
PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Nord Sud,PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Nord Sud : 69273 -> 69387,Corbas,Lyon 7e Arrondissement,84,4.90851842674107,45.6683278201109,4.83736856178182,45.7334291759191,4.842077,45.721641,8.4,"LINESTRING(4.90851842674107 45.6683278201109,4.842077 45.721641,4.83736856178182 45.7334291759191)"
PASSE PAR AVENUE JEAN MERMOZ Est Ouest,PASSE PAR AVENUE JEAN MERMOZ Est Ouest : 69271 -> 69388,Chassieu,Lyon 8e Arrondissement,80,4.96226256315257,45.7381365556818,4.86928073743304,45.7339241974647,4.881232,45.732687,8,"LINESTRING(4.96226256315257 45.7381365556818,4.881232 45.732687,4.86928073743304 45.7339241974647)"
PASSE PAR AVENUE JEAN MERMOZ Ouest Est,PASSE PAR AVENUE JEAN MERMOZ Ouest Est : 69388 -> 69277,Lyon 8e Arrondissement,Genas,80,4.86928073743304,45.7339241974647,5.01608883503537,45.7299904750262,4.881232,45.732687,8,"LINESTRING(4.86928073743304 45.7339241974647,4.881232 45.732687,5.01608883503537 45.7299904750262)"
PASSE PAR D51_Nord_Sud,PASSE PAR D51_Nord_Sud : 69389 -> 69389,Lyon 9e Arrondissement,Lyon 9e Arrondissement,77,4.80878323742598,45.7826268074114,4.80878323742598,45.7826268074114,4.845935,45.814674,7.7,"LINESTRING(4.80878323742598 45.7826268074114,4.845935 45.814674,4.80878323742598 45.7826268074114)"
PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Sud Nord,PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Sud Nord : 69382 -> 69271,Lyon 2e Arrondissement,Chassieu,75,4.82563546201978,45.7484198223014,4.96226256315257,45.7381365556818,4.842077,45.721641,7.5,"LINESTRING(4.82563546201978 45.7484198223014,4.842077 45.721641,4.96226256315257 45.7381365556818)"
PASSE PAR AVENUE JEAN MERMOZ Est Ouest,PASSE PAR AVENUE JEAN MERMOZ Est Ouest : 69029 -> 69029,Bron,Bron,74,4.91194010503519,45.7346725078783,4.91194010503519,45.7346725078783,4.881232,45.732687,7.4,"LINESTRING(4.91194010503519 45.7346725078783,4.881232 45.732687,4.91194010503519 45.7346725078783)"
